salt,salt_con,substrate1,con1,substrate2,con2,substrate3,con3,substrate4,con4,substrate5,con5,temperature,ionic
O=S(=O)([O-])C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,20,3.25042
F[As-](F)(F)(F)(F)F.[Li+],7.907512,O=C1OCCO1,29.65474,CC1COC(=O)O1,23.23711,CC1CCCO1,39.20064,O,0,O,0,-40,3.158362
F[As-](F)(F)(F)(F)F.[Li+],9.166653,O=C1OCCO1,24.06374,CC1COC(=O)O1,18.85607,CC1CCCO1,31.80988,COCC(C)OC(C)COC,16.10366,O,0,-60,2.799341
F[As-](F)(F)(F)(F)F.[Li+],7.784008,O=C1OCCO1,20.4341,CC1COC(=O)O1,16.01193,CC1CCCO1,27.01187,C1CCOC1,28.75809,O,0,-20,3.786751
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,-20,3.531479
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,-40,3.31597
F[As-](F)(F)(F)(F)F.[Li+],12.21449,O=C1OCCO1,15.26893,CC1COC(=O)O1,11.96455,CC1CCCO1,60.55203,O,0,O,0,0,3.769377
F[As-](F)(F)(F)(F)F.[Li+],15.64885,O=C1OCCO1,14.67157,CC1COC(=O)O1,11.49647,CC1CCCO1,58.1831,O,0,O,0,0,3.531479
F[As-](F)(F)(F)(F)F.[Li+],12.21449,O=C1OCCO1,15.26893,CC1COC(=O)O1,11.96455,CC1CCCO1,60.55203,O,0,O,0,-30,3.390935
F[As-](F)(F)(F)(F)F.[Li+],10.25531,O=C1OCCO1,19.22973,CC1COC(=O)O1,15.06819,CC1CCCO1,25.4198,COCC(C)OC(C)COC,30.02696,O,0,-30,3.503791
