Solvent 1,Solvent 2,Weights,Molar Mass,Log Conductivity (log S/cm),salt,temperature
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.4259415437825313, 0.4259415437825313]","[194.12, 1552.53]",-3.000570626,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.4409482150416255, 0.4409482150416255]","[194.12, 1552.53]",-3.697805745,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.4444325929086336, 0.4444325929086336]","[194.12, 1552.53]",-3.359228875,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.45577604988013093, 0.45577604988013093]","[194.12, 1552.53]",-3.313162175,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.4025700069242041, 0.4025700069242041]","[194.12, 1552.53]",-3.484770471,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.43253717657032625, 0.43253717657032625]","[194.12, 92.06]",-2.716929868,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.3885215202070043, 0.3885215202070043]","[194.12, 92.06]",-3.389541053,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.45209591666968063, 0.45209591666968063]","[194.12, 92.06]",-3.65613607,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.45703003601396686, 0.45703003601396686]","[194.12, 92.06]",-3.257525565,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.2756521930888482, 0.2756521930888482]","[194.12, 92.06]",-4.810164764,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.34796648386827383, 0.34796648386827383]","[194.12, 92.06]",-3.454701287,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.41808467050747117, 0.41808467050747117]","[194.12, 92.06]",-2.580209089,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.43403531311307486, 0.43403531311307486]","[194.12, 92.06]",-2.707133581,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.3307075156590009, 0.3307075156590009]","[194.12, 92.06]",-3.74863322,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.3631213914811722, 0.3631213914811722]","[194.12, 92.06]",-3.684249883,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.3504001569792703, 0.3504001569792703]","[194.12, 92.06]",-3.753941544,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.34413457038240236, 0.34413457038240236]","[194.12, 92.06]",-3.48243444,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC1=CC=CC=C1,"[0.37822913120768564, 0.37822913120768564]","[194.12, 92.06]",-2.962443493,F[P-](F)(F)(F)(F)F.[Li+],20
